,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
67,Bowdon,Carroll County,33.5,-85.3,10.0,Georgia,30108,20,13045,64
68,Bremen,Haralson County,33.7,-85.2,7.0,Georgia,30110,51,13143,66
69,Buchanan,Haralson County,33.9,-85.2,11.0,Georgia,30113,13,13143,66
70,Canton,Cherokee County,34.3,-84.5,10.0,Georgia,30114,33,13057,86
71,Canton,Cherokee County,34.2,-84.4,9.0,Georgia,30115,50,13057,86
72,Carrollton,Carroll County,33.6,-85.0,11.0,Georgia,30116,1,13045,64
73,Carrollton,Carroll County,33.6,-85.1,9.0,Georgia,30117,64,13045,64
74,Cartersville,Bartow County,34.2,-84.8,9.0,Georgia,30120,94,13015,99
75,Cartersville,Bartow County,34.2,-84.8,10.0,Georgia,30121,93,13015,99
76,Lithia Springs,Douglas County,33.76,-84.65,5.0,Georgia,30122,6,13097,61
77,Cave Spring,Floyd County,34.14,-85.35,7.0,Georgia,30124,68,13115,68
78,Cedartown,Polk County,34.0,-85.3,10.0,Georgia,30125,96,13233,96
79,Mableton,Cobb County,33.82,-84.55,5.0,Georgia,30126,29,13067,93
80,Powder Springs,Cobb County,33.9,-84.7,8.0,Georgia,30127,19,13067,93
81,Dallas,Paulding County,34.0,-84.9,8.0,Georgia,30132,71,13223,99
82,Douglasville,Douglas County,33.8,-84.8,7.0,Georgia,30134,25,13097,61
83,Douglasville,Douglas County,33.7,-84.7,9.0,Georgia,30135,61,13097,61
84,Emerson,Bartow County,34.12,-84.77,2.0,Georgia,30137,19,13015,99
85,Fairmount,Gordon County,34.4,-84.7,10.0,Georgia,30139,76,13129,85
86,Hiram,Paulding County,33.86,-84.76,5.0,Georgia,30141,85,13223,99
87,Jasper,Pickens County,34.5,-84.4,12.0,Georgia,30143,95,13227,95
88,Kennesaw,Cobb County,34.03,-84.6,5.0,Georgia,30144,1,13067,93
89,Kingston,Bartow County,34.2,-85.0,9.0,Georgia,30145,80,13015,99
90,Lindale,Floyd County,34.15,-85.22,5.0,Georgia,30147,61,13115,68
91,Marble Hill,Pickens County,34.44,-84.29,3.0,Georgia,30148,58,13227,95
92,Kennesaw,Cobb County,33.99,-84.64,5.0,Georgia,30152,90,13067,93
93,Rockmart,Polk County,34.0,-85.1,9.0,Georgia,30153,91,13233,96
94,Dallas,Paulding County,33.9,-84.9,10.0,Georgia,30157,99,13223,99
95,Rome,Floyd County,34.3,-85.2,15.0,Georgia,30161,47,13115,68
96,Rome,Floyd County,34.3,-85.3,13.0,Georgia,30165,8,13115,68
97,Austell,Cobb County,33.78,-84.59,4.0,Georgia,30168,55,13067,93
98,Roopville,Carroll County,33.4,-85.2,7.0,Georgia,30170,58,13045,64
99,Rydal,Bartow County,34.36,-84.74,7.0,Georgia,30171,2,13015,99
100,Silver Creek,Floyd County,34.14,-85.13,5.0,Georgia,30173,0,13115,68
101,Talking Rock,Pickens County,34.5,-84.5,11.0,Georgia,30175,43,13227,95
102,Tallapoosa,Haralson County,33.8,-85.3,10.0,Georgia,30176,66,13143,66
103,Tate,Pickens County,34.4,-84.37,2.0,Georgia,30177,23,13227,95
104,Taylorsville,Bartow County,34.1,-85.0,7.0,Georgia,30178,64,13015,99
105,Temple,Carroll County,33.8,-85.0,9.0,Georgia,30179,35,13045,64
106,Villa Rica,Carroll County,33.7,-84.9,9.0,Georgia,30180,63,13045,64
107,Waco,Carroll County,33.65,-85.25,7.0,Georgia,30182,11,13045,64
108,Waleska,Cherokee County,34.34,-84.59,6.0,Georgia,30183,86,13057,86
109,White,Bartow County,34.3,-84.7,10.0,Georgia,30184,30,13015,99
110,Whitesburg,Carroll County,33.51,-84.91,7.0,Georgia,30185,49,13045,64
111,Winston,Douglas County,33.7,-84.8,7.0,Georgia,30187,52,13097,61
112,Woodstock,Cherokee County,34.12,-84.45,6.0,Georgia,30188,28,13057,86
113,Woodstock,Cherokee County,34.13,-84.57,4.0,Georgia,30189,58,13057,86
114,Barnesville,Lamar County,33.1,-84.1,10.0,Georgia,30204,64,13171,64
115,Brooks,Fayette County,33.26,-84.46,7.0,Georgia,30205,72,13113,99
116,Concord,Pike County,33.1,-84.44,6.0,Georgia,30206,62,13231,69
117,Fairburn,Fulton County,33.6,-84.6,10.0,Georgia,30213,92,13121,96
118,Fayetteville,Fayette County,33.49,-84.48,7.0,Georgia,30214,58,13113,99
119,Fayetteville,Fayette County,33.4,-84.5,7.0,Georgia,30215,68,13113,99
120,Flovilla,Butts County,33.24,-83.87,5.0,Georgia,30216,75,13035,75
121,Franklin,Heard County,33.3,-85.1,12.0,Georgia,30217,59,13149,59
122,Gay,Meriwether County,33.13,-84.59,7.0,Georgia,30218,65,13199,96
123,Grantville,Coweta County,33.23,-84.84,7.0,Georgia,30220,46,13077,79
124,Greenville,Meriwether County,33.0,-84.7,10.0,Georgia,30222,44,13199,96
125,Griffin,Spalding County,33.3,-84.3,11.0,Georgia,30223,59,13255,59
