id,State,County,Zipcode,Lat,Long
30139,Georgia,Gordon County,30701,34.479210,-84.945630
30157,Georgia,Dallas County,30157,33.935610,-84.730390
13121,Georgia,Fulton County,30314,33.752935,-84.415916
