id,State,County,City,ZipCode,Lat,Long,Radius,Score
13089,Georgia,DeKalb County,Avondale Estates,30002,33.77,-84.26,1.0,143
13121,Georgia,Fulton County,Alpharetta,30004,34.14,-84.29,6.0,88
13121,Georgia,Fulton County,Alpharetta,30005,34.09,-84.22,4.0,23
13067,Georgia,Cobb County,Marietta,30008,33.9,-84.59,4.0,268
13121,Georgia,Fulton County,Alpharetta,30009,34.08,-84.3,3.0,117
13013,Georgia,Barrow County,Auburn,30011,34.03,-83.83,5.0,150
13247,Georgia,Rockdale County,Conyers,30012,33.72,-84.01,6.0,79
13247,Georgia,Rockdale County,Conyers,30013,33.64,-83.97,7.0,50
13217,Georgia,Newton County,Covington,30014,33.6,-83.8,16.0,119
13217,Georgia,Newton County,Covington,30016,33.5,-83.9,9.0,143
13135,Georgia,Gwinnett County,Grayson,30017,33.89,-83.96,3.0,173
13135,Georgia,Gwinnett County,Dacula,30019,34.0,-83.9,8.0,271
13089,Georgia,DeKalb County,Clarkston,30021,33.81,-84.24,2.0,40
13121,Georgia,Fulton County,Alpharetta,30022,34.02,-84.25,5.0,117
13135,Georgia,Gwinnett County,Suwanee,30024,34.07,-84.1,6.0,3
13297,Georgia,Walton County,Social Circle,30025,33.6,-83.7,7.0,211
13117,Georgia,Forsyth County,Cumming,30028,34.3,-84.2,8.0,239
13089,Georgia,DeKalb County,Decatur,30030,33.77,-84.29,2.0,142
13089,Georgia,DeKalb County,Decatur,30032,33.75,-84.27,3.0,12
13089,Georgia,DeKalb County,Decatur,30033,33.82,-84.29,3.0,195
13089,Georgia,DeKalb County,Decatur,30034,33.69,-84.25,4.0,186
13089,Georgia,DeKalb County,Decatur,30035,33.73,-84.2,3.0,272
13089,Georgia,DeKalb County,Lithonia,30038,33.66,-84.14,5.0,72
13135,Georgia,Gwinnett County,Snellville,30039,33.8,-84.03,5.0,230
13117,Georgia,Forsyth County,Cumming,30040,34.2,-84.2,7.0,169
13117,Georgia,Forsyth County,Cumming,30041,34.2,-84.1,11.0,64
13135,Georgia,Gwinnett County,Lawrenceville,30043,34.01,-84.01,6.0,112
13135,Georgia,Gwinnett County,Lawrenceville,30044,33.92,-84.07,5.0,149
13135,Georgia,Gwinnett County,Lawrenceville,30045,33.93,-83.92,6.0,196
13135,Georgia,Gwinnett County,Lawrenceville,30046,33.95,-84.0,4.0,180
